TIME,CH,ADC
3274596192,14,353
3274596320,19,265
3274597480,14,354
3274597608,19,265
3274598768,14,353
3274598896,19,265
3274600056,14,353
3274600184,19,266
3274601344,14,355
3274601480,19,267
3274602640,14,353
3274602768,19,265
3274603928,14,353
3274604056,19,265
3274605216,14,353
3274605344,19,265
3274606512,14,353
3274606640,19,265
3274607800,14,353
3274607928,19,265
3274609088,14,353
3274609216,19,265
3274610376,14,353
3274610504,19,265
3274611664,14,353
3274611792,19,265
3274612952,14,353
3274613080,19,265
3274614240,14,353
3274614368,19,265
3274615528,14,353
3274615656,19,265
3274616816,14,353
3274616952,19,266
3274618112,14,353
3274618240,19,265
3274619400,14,353
3274619528,19,265
3274620696,14,354
3274620824,19,264
3274621992,14,354
3274622120,19,265
3274623280,14,353
3274623408,19,265
3274624576,14,353
3274624704,19,264
3274625864,14,353
3274625992,19,265
3274627152,14,353
3274627280,19,264
3274628440,14,353
3274628568,19,264
3274629728,14,353
3274629856,19,265
3274631016,14,353
3274631144,19,264
3274632312,14,353
3274632440,19,264
3274633608,14,354
3274633736,19,264
3274634896,14,353
3274635024,19,264
3274636184,14,353
3274636312,19,264
3274637480,14,353
3274637608,19,265
3274638768,14,353
3274638896,19,264
3274640064,14,353
3274640192,19,264
3274641352,14,353
3274641480,19,264
3274642648,14,353
3274642776,19,264
3274643944,14,353
3274644072,19,264
3274645232,14,353
3274645360,19,264
3274646520,14,353
3274646656,19,264
3274647816,14,353
3274647944,19,265
3274649104,14,354
3274649232,19,265
3274650392,14,353
3274650520,19,264
3274651688,14,354
3274651816,19,264
3274652984,14,353
3274653112,19,264
3274654272,14,353
3274654400,19,264
3274655568,14,353
3274655696,19,264
3274656856,14,353
3274656984,19,264
3274658152,14,353
3274658280,19,264
3274659448,14,353
3274659576,19,263
3274660736,14,354
3274660872,19,264
3274662032,14,354
3274662160,19,264
3274663320,14,353
3274663448,19,265
3274664616,14,353
3274664744,19,264
3274665904,14,353
3274666032,19,264
3274667200,14,353
3274667328,19,263
3274668488,14,353
3274668616,19,264
3274669776,14,353
3274669904,19,264
3274671072,14,353
3274671200,19,263
3274672360,14,353
3274672488,19,264
3274673656,14,354
3274673784,19,264
3274674952,14,354
3274675080,19,264
3274676240,14,354
3274676368,19,265
3274677536,14,354
3274677664,19,264
3274678824,14,354
3274678952,19,265
3274680120,14,353
3274680248,19,264
3274681408,14,353
3274681536,19,264
3274682704,14,353
3274682832,19,263
3274683992,14,352
3274684120,19,263
3274685280,14,353
3274685408,19,263
3274686568,14,353
3274686696,19,264
3274687856,14,353
3274687984,19,264
3274689152,14,353
3274689280,19,263
3274690440,14,353
3274690568,19,263
3274691728,14,353
3274691856,19,263
3274693016,14,353
3274693144,19,263
3274694304,14,353
3274694432,19,263
3274695592,14,353
3274695720,19,263
3274696880,14,353
3274697008,19,263
3274698168,14,353
3274698296,19,263
3274699456,14,353
3274699584,19,263
3274700744,14,353
3274700872,19,263
3274702032,14,353
3274702160,19,263
3274703320,14,354
3274703448,19,263
3274704608,14,353
3274704736,19,263
3274705896,14,353
3274706024,19,263
3274707184,14,353
3274707312,19,263
3274708472,14,353
3274708600,19,263
3274709760,14,353
3274709888,19,263
3274711048,14,353
3274711176,19,263
3274712336,14,353
3274712464,19,262
3274713632,14,354
3274713760,19,264
3274714928,14,354
3274715056,19,263
3274716216,14,354
3274716344,19,263
3274717504,14,353
3274717632,19,263
3274718792,14,353
3274718920,19,263
3274720080,14,354
3274720208,19,263
3274721368,14,352
3274721496,19,263
3274722656,14,354
3274722784,19,263
3274723944,14,353
3274724072,19,262
3274725232,14,352
3274725360,19,263
3274726528,14,353
3274726656,19,262
3274727816,14,353
3274727944,19,263
3274729104,14,352
3274729232,19,263
3274730392,14,353
3274730520,19,262
3274731688,14,353
3274731816,19,263
3274732976,14,353
3274733104,19,263
3274734264,14,353
3274734392,19,262
3274735560,14,353
3274735688,19,263
3274736848,14,353
3274736976,19,263
3274738136,14,353
3274738264,19,262
3274739432,14,354
3274739560,19,262
3274740720,14,353
3274740856,19,262
3274742016,14,353
3274742144,19,263
3274743304,14,353
3274743432,19,263
3274744592,14,353
3274744720,19,263
3274745880,14,353
3274746008,19,262
3274747168,14,353
3274747296,19,263
3274748456,14,353
3274748584,19,262
3274749744,14,353
3274749872,19,262
3274751040,14,354
3274751168,19,262
3274752328,14,353
3274752456,19,262
3274753624,14,354
3274753752,19,262
3274754912,14,353
3274755040,19,262
3274756208,14,354
3274756336,19,262
3274757504,14,354
3274757632,19,262
3274758792,14,354
3274758920,19,262
3274760080,14,354
3274760208,19,262
