TIME,CH,ADC
121653552,14,359
121653672,19,360
121654816,14,359
121654936,19,360
121656080,14,359
121656200,19,360
121657352,14,359
121657472,19,360
121658616,14,359
121658736,19,360
121659880,14,359
121660000,19,360
121661144,14,359
121661264,19,360
121662408,14,359
121662528,19,360
121663672,14,359
121663792,19,360
121664936,14,359
121665056,19,361
121666200,14,359
121666320,19,360
121667464,14,359
121667592,19,361
121668736,14,360
121668856,19,360
121670000,14,359
121670120,19,360
121671264,14,359
121671384,19,360
121672528,14,359
121672648,19,360
121673792,14,359
121673912,19,360
121675056,14,359
121675176,19,360
121676320,14,359
121676440,19,360
121677584,14,359
121677704,19,360
121678852,14,359
121678976,19,360
121680120,14,359
121680240,19,360
121681384,14,359
121681504,19,361
121682648,14,360
121682768,19,361
121683912,14,358
121684032,19,361
121685176,14,359
121685296,19,360
121686440,14,359
121686560,19,360
121687704,14,360
121687824,19,361
121688968,14,359
121689092,19,361
121690240,14,359
121690360,19,360
121691504,14,360
121691624,19,361
121692768,14,359
121692888,19,360
121694032,14,359
121694152,19,360
121695296,14,359
121695416,19,360
121696560,14,359
121696680,19,360
121697824,14,359
121697944,19,360
121699088,14,359
121699208,19,360
121700360,14,361
121700480,19,360
121701624,14,359
121701744,19,360
121702888,14,359
121703008,19,360
121704152,14,359
121704272,19,360
121705416,14,359
121705536,19,361
121706680,14,360
121706800,19,361
121707944,14,359
121708064,19,360
121709208,14,359
121709328,19,360
121710472,14,359
121710596,19,361
121713008,14,360
121713128,19,361
121714272,14,359
121714392,19,360
121716800,14,359
121716920,19,361
121718064,14,361
121718184,19,363
121719328,14,360
121719448,19,361
121720592,14,358
121720712,19,360
121721860,14,359
121721984,19,359
121723128,14,359
121723248,19,360
121724392,14,359
121724512,19,361
121725656,14,359
121725776,19,360
121726920,14,359
121727040,19,360
121728184,14,359
121728304,19,360
121729448,14,359
121729568,19,361
121730712,14,359
121730832,19,360
121731976,14,359
121732100,19,362
121733248,14,360
121733368,19,360
121734512,14,358
121734632,19,360
121735776,14,359
121735896,19,360
121737040,14,359
121737160,19,361
121738304,14,359
121738424,19,360
121739568,14,359
121739688,19,360
121740832,14,359
121740952,19,361
121742096,14,359
121742216,19,361
121743364,14,359
121743488,19,360
121744632,14,359
121744752,19,361
121745896,14,359
121746016,19,360
121747160,14,359
121747280,19,360
121748424,14,359
121748544,19,360
121749688,14,359
121749808,19,360
121750952,14,359
121751072,19,360
121752216,14,359
121752336,19,360
121753480,14,358
121753604,19,360
121754752,14,359
121754872,19,360
121756016,14,359
121756136,19,360
121757280,14,359
121757400,19,361
121758544,14,359
