TIME,CH,ADC
363501133,34,611
363502443,11,12989
363502550,34,619
363503860,11,13018
363503966,34,616
363505275,11,13000
363505382,34,641
363506692,11,12995
363506799,34,634
363508108,11,12999
363508215,34,632
363509531,11,12982
363509638,34,623
363510948,11,13117
363511055,34,619
363512365,11,13003
363512472,34,608
363513782,11,12928
363513889,34,606
363515198,11,12990
363515305,34,573
363516616,11,13004
363516723,34,607
363518033,11,13005
363518140,34,620
363519448,11,12959
363519555,34,619
363520865,11,12994
363520972,34,702
363522282,11,12806
363522389,34,616
363523705,11,13046
363523811,34,632
363525122,11,12999
363525228,34,625
363526544,11,12991
363526651,34,626
363527961,11,12982
363528068,34,611
363529378,11,13004
363529484,34,611
363530795,11,13004
363530902,34,605
363532213,11,12990
363532319,34,595
363533629,11,12998
363533736,34,612
363535046,11,12999
363535153,34,616
363536461,11,13011
363536568,34,632
363537879,11,12997
363537985,34,628
363539295,11,12974
363539401,34,638
363540717,11,13003
363540824,34,646
363542133,11,12969
363542240,34,631
363543556,11,12984
363543663,34,624
363544973,11,12931
363545080,34,586
363546390,11,13012
363546496,34,612
363547807,11,12995
363547914,34,609
363549225,11,12971
363549332,34,607
363550642,11,12993
363550749,34,612
363552060,11,12990
363552166,34,615
363553476,11,13000
363553583,34,632
363554893,11,12979
363555000,34,636
363556311,11,12990
363556417,34,644
363557734,11,13008
363557840,34,638
363559151,11,13023
363559257,34,635
363560573,11,12998
363560679,34,601
363561990,11,12976
363562096,34,614
363563406,11,12968
363563518,34,659
363564829,11,13000
363564936,34,596
363566246,11,12980
363566352,34,598
363567663,11,12972
363567770,34,608
363569080,11,13002
363569186,34,620
363570495,11,12985
363570601,34,631
363571912,11,12991
363572018,34,636
363573329,11,12983
363573441,34,630
363574751,11,12987
363574858,34,626
363576168,11,12998
363576275,34,629
363577584,11,13102
363577691,34,619
363579001,11,12966
363579108,34,612
363580417,11,12996
363580530,34,608
363581841,11,13014
363581947,34,608
363583256,11,13001
363583363,34,609
363584673,11,13003
363584780,34,615
363586090,11,12988
363586197,34,623
363587513,11,12975
363587620,34,631
363588930,11,12996
363589037,34,639
363590347,11,13001
363590453,34,641
363591763,11,13006
363591870,34,636
363593179,11,12997
363593286,34,625
363594596,11,12668
363594702,34,606
363596013,11,12988
363596119,34,603
363597429,11,12988
363597541,34,598
363598851,11,12969
363598958,34,603
363600269,11,12987
363600375,34,640
363601685,11,13002
363601792,34,613
363603102,11,13045
363603208,34,617
363604524,11,13010
363604631,34,636
363605942,11,13000
363606048,34,623
363607359,11,13105
363607465,34,632
363608775,11,13003
363608882,34,624
363610191,11,12981
363610298,34,622
363611608,11,12995
363611715,34,608
363613025,11,13020
363613131,34,611
363614443,11,12969
363614550,34,604
363615860,11,12999
363615967,34,603
363617277,11,12990
363617384,34,598
363618700,11,12994
363618807,34,626
363620116,11,12995
363620223,34,632
363621540,11,12991
363621646,34,659
363622955,11,12980
363623062,34,636
363624372,11,12978
363624479,34,631
363625789,11,12993
363625895,34,625
363627206,11,13007
363627312,34,616
363628623,11,12995
363628730,34,611
363630039,11,12990
363630146,34,605
363631455,11,12980
363631562,34,603
363632871,11,12996
363632977,34,604
363634288,11,12877
363634395,34,611
363635711,11,12994
363635818,34,620
363637127,11,12937
363637234,34,631
363638550,11,12964
363638656,34,640
363639965,11,12988
363640072,34,627
363641381,11,12956
363641488,34,630
363642797,11,12963
363642904,34,627
363644214,11,13036
363644321,34,617
363645632,11,12976
363645738,34,617
363647048,11,13012
363647155,34,603
363648465,11,12988
363648572,34,599
363649882,11,13150
363649989,34,614
363651298,11,12975
363651404,34,620
363652721,11,12999
363652827,34,628
363654137,11,12981
363654244,34,603
363655560,11,13006
363655666,34,644
363656977,11,12970
363657083,34,638
363658393,11,12954
363658500,34,632
363659810,11,12981
363659917,34,621
363661226,11,12987
363661333,34,611
363662644,11,12998
363662750,34,605
363664060,11,12989
363664166,34,606
363665476,11,12955
363665583,34,605
363666893,11,12984
363667000,34,617
363668311,11,13109
363668417,34,624
363669734,11,12990
363669841,34,635
363671150,11,13006
363671256,34,632
363672572,11,12982
363672679,34,640
363673989,11,12940
363674096,34,642
363675405,11,12989
363675518,34,624
363676829,11,12979
363676935,34,616
363678245,11,12979
363678352,34,608
363679662,11,12981
363679768,34,610
363681078,11,13007
363681185,34,596
363682495,11,12968
363682602,34,604
363683912,11,12998
363684019,34,614
363685329,11,12998
363685442,34,627
363686752,11,12995
363686859,34,630
363688169,11,12982
363688275,34,637
363689585,11,12977
363689691,34,634
363691002,11,12988
363691109,34,620
363692418,11,12970
363692530,34,625
363693840,11,12994
363693947,34,616
363695256,11,12982
363695363,34,552
363696673,11,12995
363696780,34,606
363698090,11,12958
363698196,34,610
363699512,11,12955
363699619,34,608
363700929,11,13016
363701036,34,616
363702346,11,12998
363702453,34,626
363703762,11,12991
363703869,34,630
363705178,11,12984
363705285,34,634
363706595,11,12991
363706701,34,637
363708011,11,12972
363708118,34,630
363709427,11,12982
363709540,34,622
363710850,11,12918
363710956,34,610
363712267,11,13114
363712374,34,609
363713684,11,12983
363713791,34,603
363715100,11,12981
363715207,34,609
363716523,11,12998
363716630,34,611
363717941,11,13005
363718048,34,630
363719358,11,13002
363719464,34,622
363720774,11,12938
363720881,34,683
363722191,11,12984
363722297,34,620
363723607,11,12998
363723714,34,626
363725024,11,12977
363725131,34,620
363726443,11,12965
363726550,34,615
363727860,11,13264
363727966,34,607
363729277,11,12975
363729384,34,606
363730700,11,12988
363730806,34,594
363732117,11,12932
363732224,34,610
363733540,11,13002
363733646,34,641
363734956,11,12978
363735063,34,616
363736373,11,12980
363736480,34,631
363737790,11,12990
363737897,34,636
363739206,11,12985
363739313,34,632
363740623,11,13048
363740730,34,632
363742040,11,12974
363742146,34,639
363743456,11,13179
363743563,34,620
363744873,11,12988
363744979,34,604
363746290,11,13002
363746396,34,600
363747713,11,12978
363747820,34,602
363749129,11,13027
363749235,34,609
363750551,11,13094
363750658,34,623
363751968,11,12987
363752075,34,625
