TIME,CH,ADC
3006145280,19,237
3006146424,14,336
3006146552,19,237
3006148968,14,336
3006149096,19,237
3006150232,14,336
3006150360,19,237
3006152776,14,336
3006152904,19,237
3006154048,14,336
3006154176,19,237
3006155312,14,336
3006155440,19,238
3006156584,14,336
3006156712,19,238
3006157856,14,336
3006157984,19,237
3006159128,14,336
3006159256,19,237
3006160400,14,336
3006160528,19,238
3006161672,14,336
3006161800,19,238
3006162952,14,336
3006163080,19,237
3006164224,14,336
3006164352,19,237
3006165496,14,336
3006165624,19,238
3006166768,14,336
3006166896,19,237
3006168040,14,336
3006168168,19,238
3006169312,14,336
3006169440,19,238
3006170584,14,336
3006170712,19,238
3006171856,14,336
3006171984,19,238
3006173128,14,336
3006173256,19,238
3006174400,14,336
3006174528,19,238
3006175672,14,336
3006175800,19,238
3006176944,14,336
3006177072,19,238
3006178216,14,336
3006178344,19,238
3006179488,14,336
3006179616,19,238
3006180760,14,336
3006180888,19,238
3006182032,14,336
3006182160,19,238
3006183304,14,337
3006183432,19,238
3006184576,14,336
3006184704,19,237
3006185840,14,336
3006185968,19,238
3006187112,14,336
3006187240,19,238
3006188384,14,336
3006188512,19,237
3006189656,14,336
3006189784,19,238
3006190928,14,336
3006191056,19,237
3006192200,14,336
3006192328,19,237
3006193472,14,336
3006193600,19,237
3006194744,14,336
3006194872,19,237
3006196016,14,336
3006196144,19,238
3006197288,14,336
3006197416,19,238
3006198560,14,336
3006198688,19,237
3006199824,14,336
3006199952,19,238
3006201096,14,336
3006201224,19,238
3006202368,14,336
3006202496,19,237
3006203640,14,336
3006203768,19,238
3006204912,14,336
3006205048,19,237
3006206192,14,336
3006206320,19,237
3006207464,14,336
3006207592,19,237
3006208736,14,336
3006208864,19,237
3006210008,14,336
3006210136,19,237
3006211272,14,336
3006211400,19,238
3006212544,14,336
3006212672,19,237
3006213808,14,336
3006213936,19,237
3006215080,14,336
3006215208,19,238
3006216352,14,337
3006216480,19,238
3006217624,14,336
3006217752,19,237
3006218896,14,336
3006219024,19,237
3006220168,14,336
3006220296,19,238
3006221440,14,336
3006221568,19,237
3006222704,14,336
3006222832,19,237
3006223976,14,336
3006224104,19,238
3006225248,14,336
3006225376,19,238
3006226520,14,336
3006226648,19,237
3006227792,14,336
3006227920,19,237
3006229064,14,336
3006229192,19,237
3006230328,14,336
3006230456,19,237
3006231600,14,336
3006231728,19,237
3006232872,14,336
3006233000,19,238
3006234144,14,336
3006234272,19,237
3006235416,14,336
3006235544,19,237
3006236688,14,336
3006236816,19,237
3006237960,14,336
3006238088,19,237
3006239232,14,336
3006239360,19,238
3006240504,14,336
3006240632,19,238
3006241776,14,336
3006241912,19,238
3006243056,14,336
3006243184,19,238
3006244328,14,336
3006244456,19,237
3006245600,14,336
3006245728,19,238
3006246872,14,336
3006247000,19,237
3006248144,14,336
3006248272,19,238
3006249416,14,336
3006249544,19,237
3006250688,14,336
3006250816,19,237
3006251960,14,336
3006252088,19,238
3006253232,14,336
3006253360,19,238
3006254504,14,336
3006254632,19,238
3006255776,14,336
3006255904,19,237
3006257048,14,336
3006257176,19,237
3006258320,14,336
3006258448,19,237
3006259592,14,336
3006259720,19,237
3006260864,14,336
3006260992,19,237
3006262136,14,336
3006262264,19,238
3006263416,14,336
3006263544,19,237
3006264680,14,336
3006264808,19,237
3006265952,14,336
3006266080,19,238
3006267224,14,336
3006267352,19,237
3006268496,14,336
3006268624,19,237
3006269760,14,336
3006269888,19,238
3006271032,14,336
3006271160,19,237
3006272304,14,336
3006272432,19,237
3006273576,14,336
