UTC datetime,Wed Aug  9 20:19:48 2023
UTC timestamp,1691612388.69357
`---`,,
{
  "program_name": "Multi Device Example",
  "data_file_prefix": "../analysis_code/thermistor_data/multi_device_example/mde_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "TEST ARDUINO 1",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "duration",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Channel 1",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "00"
        },
        {
          "channel_name": "Channel 2",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "01"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,CH,TIME,ADC
1691612389.1776466,0,29,213134,13233
1691612389.1776466,0,11,213235,16383
1691612389.1792123,0,29,214462,13222
1691612389.1792123,0,11,214564,16383
1691612389.1793323,0,29,215790,13219
1691612389.1793323,0,11,215892,16383
1691612389.1806812,0,29,217118,13261
1691612389.1806812,0,11,217220,16383
1691612389.1826818,0,29,218447,13255
1691612389.1826818,0,11,218548,16383
1691612389.1842318,0,29,219775,13249
1691612389.1842318,0,11,219876,16383
1691612389.1862214,0,29,221103,13248
1691612389.1862214,0,11,221204,16383
1691612389.186349,0,29,222437,13253
1691612389.186349,0,11,222539,16383
1691612389.187687,0,29,223766,13247
1691612389.187687,0,11,223868,16383
1691612389.1892748,0,29,225094,13222
1691612389.1892748,0,11,225195,16383
1691612389.1906567,0,29,226422,13263
1691612389.1906567,0,11,226529,16383
1691612389.1926503,0,29,227757,13234
1691612389.1926503,0,11,227858,16383
1691612389.1927714,0,29,229085,13242
1691612389.1927714,0,11,229186,16383
1691612389.1942718,0,29,230412,13263
1691612389.1942718,0,11,230519,16383
1691612389.1956959,0,29,231747,13228
1691612389.1956959,0,11,231848,16383
1691612389.1972415,0,29,233074,13243
1691612389.1972415,0,11,233175,16383
1691612389.1992333,0,29,234402,13220
1691612389.1992333,0,11,234510,16383
1691612389.2006307,0,29,235737,13262
1691612389.2006307,0,11,235839,16383
1691612389.200719,0,29,237065,13239
1691612389.200719,0,11,237167,16383
1691612389.2022822,0,29,238393,13154
1691612389.2022822,0,11,238494,16383
1691612389.2036657,0,29,239722,13255
1691612389.2036657,0,11,239823,16383
1691612389.2056606,0,29,241050,13244
1691612389.2056606,0,11,241151,16383
1691612389.2072153,0,29,242377,13244
1691612389.2072153,0,11,242478,16383
1691612389.2073038,0,29,243705,13244
1691612389.2073038,0,11,243806,16383
1691612389.2087104,0,29,245034,13247
1691612389.2087104,0,11,245135,16383
1691612389.210263,0,29,246361,13240
1691612389.210263,0,11,246462,16383
1691612389.212249,0,29,247690,13266
1691612389.212249,0,11,247791,16383
1691612389.2136416,0,29,249019,13246
1691612389.2136416,0,11,249120,16383
1691612389.2137296,0,29,250347,13217
1691612389.2137296,0,11,250448,16383
1691612389.2153096,0,29,251674,13232
1691612389.2153096,0,11,251776,16383
1691612389.2172754,0,29,253003,13224
1691612389.2172754,0,11,253104,16383
1691612389.2186618,0,29,254330,13260
1691612389.2186618,0,11,254437,16383
1691612389.220236,0,29,255665,13235
1691612389.220236,0,11,255766,16383
1691612389.2222133,0,29,256994,13245
1691612389.2222133,0,11,257095,16383
1691612389.2223318,0,29,258321,13230
1691612389.2223318,0,11,258423,16383
1691612389.2236822,0,29,259656,13231
1691612389.2236822,0,11,259757,16383
1691612389.2252629,0,29,260983,13261
1691612389.2252629,0,11,261084,16383
1691612389.2266521,0,29,262310,13223
1691612389.2266521,0,11,262412,16383
1691612389.2286437,0,29,263644,13231
1691612389.2286437,0,11,263746,16383
1691612389.2287652,0,29,264973,13262
1691612389.2287652,0,11,265074,16383
1691612389.2302678,0,29,266301,13252
1691612389.2302678,0,11,266402,16383
1691612389.231688,0,29,267635,13258
1691612389.231688,0,11,267737,16383
1691612389.2336717,0,29,268964,13234
1691612389.2336717,0,11,269065,16383
1691612389.2352266,0,29,270291,13188
1691612389.2352266,0,11,270393,16383
1691612389.2353454,0,29,271626,13226
1691612389.2353454,0,11,271727,16383
1691612389.2366939,0,29,272954,13277
1691612389.2366939,0,11,273055,16383
1691612389.2386951,0,29,274282,13223
1691612389.2386951,0,11,274383,16383
1691612389.2402563,0,29,275614,13230
1691612389.2402563,0,11,275716,16383
1691612389.241646,0,29,276943,13223
1691612389.241646,0,11,277044,16383
1691612389.243224,0,29,278271,13248
1691612389.243224,0,11,278372,16383
1691612389.2433417,0,29,279599,13236
1691612389.2433417,0,11,279700,16383
1691612389.2452838,0,29,280927,13236
1691612389.2452838,0,11,281028,16383
1691612389.2466748,0,29,282256,13249
1691612389.2466748,0,11,282357,16383
1691612389.2482417,0,29,283584,13261
1691612389.2482417,0,11,283685,16383
1691612389.2502227,0,29,284913,13244
1691612389.2502227,0,11,285014,16383
1691612389.2503443,0,29,286241,13212
1691612389.2503443,0,11,286343,16383
1691612389.251687,0,29,287575,13242
1691612389.251687,0,11,287676,16383
1691612389.2532685,0,29,288903,13323
1691612389.2532685,0,11,289005,16383
1691612389.254655,0,29,290232,13239
1691612389.254655,0,11,290333,16383
1691612389.2566497,0,29,291565,13242
1691612389.2566497,0,11,291666,16383
1691612389.2568085,0,29,292893,13224
1691612389.2568085,0,11,292994,16383
1691612389.258295,0,29,294220,13213
1691612389.258295,0,11,294322,16383
1691612389.2596762,0,29,295554,13229
1691612389.2596762,0,11,295655,16383
1691612389.261266,0,29,296882,13230
1691612389.261266,0,11,296983,16383
1691612389.2632344,0,29,298210,13252
1691612389.2632344,0,11,298312,16383
1691612389.2646303,0,29,299544,13217
1691612389.2646303,0,11,299645,16383
1691612389.2647192,0,29,300872,13261
1691612389.2647192,0,11,300973,16383
1691612389.2662947,0,29,302200,13254
1691612389.2662947,0,11,302301,16383
1691612389.2682614,0,29,303534,13234
1691612389.2682614,0,11,303635,16383
1691612389.2696512,0,29,304862,13255
1691612389.2696512,0,11,304964,16383
1691612389.2716405,0,29,306190,13243
1691612389.2716405,0,11,306291,16383
1691612389.2717576,0,29,307525,13237
1691612389.2717576,0,11,307626,16383
1691612389.2732906,0,29,308853,13238
1691612389.2732906,0,11,308955,16383
1691612389.2746706,0,29,310181,13241
1691612389.2746706,0,11,310282,16383
1691612389.276248,0,29,311515,13248
1691612389.276248,0,11,311616,16383
1691612389.2782266,0,29,312843,13225
1691612389.2782266,0,11,312945,16383
1691612389.2783458,0,29,314171,13094
1691612389.2783458,0,11,314272,16383
1691612389.2796915,0,29,315499,13253
1691612389.2796915,0,11,315601,16383
1691612389.281276,0,29,316828,13251
1691612389.281276,0,11,316929,16383
1691612389.2826614,0,29,318156,13315
1691612389.2826614,0,11,318257,16383
1691612389.2842486,0,29,319484,13242
1691612389.2842486,0,11,319585,16383
1691612389.2862132,0,29,320812,13247
1691612389.2862132,0,11,320913,16383
1691612389.2863324,0,29,322140,13244
1691612389.2863324,0,11,322241,16383
1691612389.2876806,0,29,323468,13209
1691612389.2876806,0,11,323569,16383
1691612389.2892632,0,29,324795,13251
1691612389.2892632,0,11,324896,16383
1691612389.2912407,0,29,326124,13243
1691612389.2912407,0,11,326225,16383
1691612389.2926354,0,29,327452,13232
1691612389.2926354,0,11,327553,16383
1691612389.2927237,0,29,328779,13228
1691612389.2927237,0,11,328881,16383
1691612389.2942886,0,29,330107,13226
1691612389.2942886,0,11,330209,16383
1691612389.2962682,0,29,331441,13236
1691612389.2962682,0,11,331542,16383
1691612389.2976558,0,29,332768,13276
