UTC datetime,Wed Aug  9 20:18:07 2023
UTC timestamp,1691612287.526816
`---`,,
{
  "program_name": "Multi Device Example",
  "data_file_prefix": "../analysis_code/thermistor_data/multi_device_example/mde_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "TEST ARDUINO 1",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "duration",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Channel 1",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "00"
        },
        {
          "channel_name": "Channel 2",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "01"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,TIME,CH,ADC
1691612287.9219651,0,29,126050,13305
1691612287.9219651,0,11,126151,16383
1691612287.923542,0,29,127377,13323
1691612287.923542,0,11,127478,16383
1691612287.924947,0,29,128706,13308
1691612287.924947,0,11,128807,16383
1691612287.9265056,0,29,130034,13303
1691612287.9265056,0,11,130135,16383
1691612287.9284847,0,29,131362,13318
1691612287.9284847,0,11,131463,16383
1691612287.928599,0,29,132690,13265
1691612287.928599,0,11,132792,16383
1691612287.9299548,0,29,134018,13290
1691612287.9299548,0,11,134119,16383
1691612287.9315329,0,29,135346,13264
1691612287.9315329,0,11,135447,16383
1691612287.9335134,0,29,136675,13277
1691612287.9335134,0,11,136776,16383
1691612287.9349122,0,29,138002,13279
1691612287.9349122,0,11,138103,16383
1691612287.9350262,0,29,139330,13306
1691612287.9350262,0,11,139437,16383
1691612287.9365401,0,29,140664,13300
1691612287.9365401,0,11,140765,16383
1691612287.93854,0,29,141992,13234
1691612287.93854,0,11,142093,16383
1691612287.9399407,0,29,143320,13280
1691612287.9399407,0,11,143422,16383
1691612287.9414985,0,29,144654,13301
1691612287.9414985,0,11,144755,16383
1691612287.9416113,0,29,145982,13318
1691612287.9416113,0,11,146083,16383
1691612287.9435685,0,29,147309,13303
1691612287.9435685,0,11,147411,16383
1691612287.9449697,0,29,148645,13306
1691612287.9449697,0,11,148746,16383
1691612287.9465265,0,29,149973,13301
1691612287.9465265,0,11,150074,16383
1691612287.9479265,0,29,151301,13325
1691612287.9479265,0,11,151402,16383
1691612287.9501507,0,29,152635,13298
1691612287.9501507,0,11,152736,16383
1691612287.9502585,0,29,153963,13299
1691612287.9502585,0,11,154064,16383
1691612287.9515471,0,29,155291,13294
1691612287.9515471,0,11,155392,16383
1691612287.9529698,0,29,156624,13286
1691612287.9529698,0,11,156726,16383
1691612287.9545135,0,29,157952,13300
1691612287.9545135,0,11,158054,16383
1691612287.956492,0,29,159280,13312
1691612287.956492,0,11,159381,16383
1691612287.9566083,0,29,160614,13293
1691612287.9566083,0,11,160715,16383
1691612287.9579604,0,29,161942,13291
1691612287.9579604,0,11,162043,16383
1691612287.9595404,0,29,163269,13317
1691612287.9595404,0,11,163371,16383
1691612287.9615204,0,29,164598,13293
1691612287.9615204,0,11,164699,16383
1691612287.962919,0,29,165926,13371
1691612287.962919,0,11,166027,16383
1691612287.9630313,0,29,167254,13306
