UTC datetime,Fri Feb 17 23:10:59 2023
UTC timestamp,1676675459.723466
`---`,,
{
  "program_name": "Teaching Example",
  "data_file_prefix": "../analysis_code/teaching_example/example_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "Artemis ATP",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "indefinite",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Thermistor",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "03"
        },
        {
          "channel_name": "Ungrounded",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "voltage",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "Unknown"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,TIME,CH,ADC
1676675460.328258,0,336494,11,16383
1676675460.3295944,0,337721,29,10464
1676675460.3295944,0,337822,11,16383
1676675460.3311787,0,339050,29,10442
1676675460.3311787,0,339151,11,16383
1676675460.3331578,0,340376,29,10446
1676675460.3331578,0,340477,11,16383
1676675460.3345475,0,341705,29,10454
1676675460.3345475,0,341806,11,16383
1676675460.3361142,0,343032,29,10451
1676675460.3361142,0,343133,11,16383
1676675460.3362424,0,344361,29,10466
1676675460.3362424,0,344462,11,16383
1676675460.3375828,0,345689,29,10435
1676675460.3375828,0,345790,11,16383
1676675460.339166,0,347017,29,10440
1676675460.339166,0,347118,11,16383
1676675460.341145,0,348345,29,10517
1676675460.341145,0,348446,11,16383
1676675460.342537,0,349673,29,10468
1676675460.342537,0,349774,11,16383
1676675460.3426304,0,351000,29,10456
1676675460.3426304,0,351101,11,16383
1676675460.3441684,0,352327,29,10437
1676675460.3441684,0,352429,11,16383
1676675460.3461697,0,353661,29,10440
1676675460.3461697,0,353762,11,16383
1676675460.3475575,0,354989,29,10467
1676675460.3475575,0,355090,11,16383
1676675460.34913,0,356316,29,10455
1676675460.34913,0,356417,11,16383
1676675460.3492546,0,357651,29,10430
1676675460.3492546,0,357752,11,16383
1676675460.3512008,0,358978,29,10434
1676675460.3512008,0,359079,11,16383
1676675460.3525774,0,360306,29,10491
1676675460.3525774,0,360407,11,16383
1676675460.354157,0,361640,29,10416
1676675460.354157,0,361742,11,16383
1676675460.3555484,0,362968,29,10457
1676675460.3555484,0,363069,11,16383
1676675460.3575344,0,364296,29,10458
1676675460.3575344,0,364397,11,16383
1676675460.3576615,0,365631,29,10446
1676675460.3576615,0,365733,11,16383
1676675460.3591619,0,366961,29,10458
1676675460.3591619,0,367062,11,16383
1676675460.3605847,0,368288,29,10457
1676675460.3605847,0,368390,11,16383
1676675460.3621316,0,369623,29,10460
1676675460.3621316,0,369724,11,16383
1676675460.3641226,0,370953,29,10454
1676675460.3641226,0,371054,11,16383
1676675460.364249,0,372280,29,10471
1676675460.364249,0,372381,11,16383
1676675460.3655884,0,373608,29,10500
1676675460.3655884,0,373709,11,16383
1676675460.3671703,0,374936,29,10454
1676675460.3671703,0,375037,11,16383
1676675460.3691504,0,376264,29,10459
1676675460.3691504,0,376365,11,16383
1676675460.3705423,0,377593,29,10435
1676675460.3705423,0,377694,11,16383
1676675460.3706353,0,378920,29,10460
1676675460.3706353,0,379022,11,16383
1676675460.3721743,0,380249,29,10461
1676675460.3721743,0,380350,11,16383
1676675460.374177,0,381579,29,10463
1676675460.374177,0,381680,11,16383
1676675460.3755624,0,382907,29,10479
1676675460.3755624,0,383008,11,16383
1676675460.3771322,0,384236,29,10448
1676675460.3771322,0,384337,11,16383
1676675460.3791149,0,385570,29,10468
1676675460.3791149,0,385671,11,16383
1676675460.3792312,0,386897,29,10457
1676675460.3792312,0,386998,11,16383
1676675460.3805819,0,388225,29,10475
1676675460.3805819,0,388326,11,16383
1676675460.3821602,0,389559,29,10450
1676675460.3821602,0,389660,11,16383
1676675460.3835607,0,390887,29,10454
1676675460.3835607,0,390988,11,16383
1676675460.3851192,0,392214,29,10486
1676675460.3851192,0,392316,11,16383
1676675460.3852367,0,393548,29,10452
1676675460.3852367,0,393649,11,16383
1676675460.3871918,0,394876,29,10451
1676675460.3871918,0,394978,11,16383
1676675460.3885725,0,396204,29,10455
1676675460.3885725,0,396305,11,16383
1676675460.3901498,0,397538,29,10444
1676675460.3901498,0,397639,11,16383
1676675460.3921294,0,398867,29,10554
1676675460.3921294,0,398968,11,16383
1676675460.392256,0,400194,29,10439
1676675460.392256,0,400296,11,16383
1676675460.3935935,0,401528,29,10441
1676675460.3935935,0,401629,11,16383
1676675460.3951766,0,402857,29,10489
1676675460.3951766,0,402958,11,16383
1676675460.396562,0,404185,29,10438
1676675460.396562,0,404286,11,16383
1676675460.3981364,0,405519,29,10454
1676675460.3981364,0,405620,11,16383
1676675460.4001145,0,406848,29,10464
1676675460.4001145,0,406949,11,16383
1676675460.4002416,0,408176,29,10440
1676675460.4002416,0,408277,11,16383
1676675460.4015825,0,409511,29,10450
1676675460.4015825,0,409612,11,16383
1676675460.4031641,0,410839,29,10478
1676675460.4031641,0,410940,11,16383
1676675460.4051437,0,412167,29,10457
1676675460.4051437,0,412268,11,16383
1676675460.4065359,0,413495,29,10444
1676675460.4065359,0,413596,11,16383
1676675460.4066281,0,414822,29,10461
1676675460.4066281,0,414924,11,16383
1676675460.4081903,0,416150,29,10476
1676675460.4081903,0,416252,11,16383
1676675460.4101691,0,417479,29,10457
1676675460.4101691,0,417580,11,16383
1676675460.411558,0,418807,29,10452
1676675460.411558,0,418908,11,16383
1676675460.4131289,0,420135,29,10443
1676675460.4131289,0,420236,11,16383
1676675460.4132526,0,421463,29,10449
1676675460.4132526,0,421565,11,16383
1676675460.4151978,0,422792,29,10460
1676675460.4151978,0,422893,11,16383
1676675460.416599,0,424121,29,10485
1676675460.416599,0,424222,11,16383
1676675460.4181585,0,425449,29,10458
1676675460.4181585,0,425551,11,16383
1676675460.4195483,0,426778,29,10469
1676675460.4195483,0,426879,11,16383
1676675460.4215353,0,428105,29,10432
1676675460.4215353,0,428206,11,16383
1676675460.42166,0,429439,29,10442
1676675460.42166,0,429541,11,16383
1676675460.4231849,0,430768,29,10445
1676675460.4231849,0,430869,11,16383
1676675460.4245672,0,432096,29,10443
1676675460.4245672,0,432197,11,16383
1676675460.4261436,0,433424,29,10461
1676675460.4261436,0,433531,11,16383
1676675460.428123,0,434758,29,10460
1676675460.428123,0,434859,11,16383
1676675460.4282494,0,436086,29,10451
1676675460.4282494,0,436187,11,16383
1676675460.4295876,0,437414,29,10458
1676675460.4295876,0,437521,11,16383
1676675460.4311717,0,438749,29,10459
1676675460.4311717,0,438850,11,16383
1676675460.4325836,0,440076,29,10469
1676675460.4325836,0,440177,11,16383
1676675460.4345565,0,441404,29,10460
1676675460.4345565,0,441511,11,16383
1676675460.4346862,0,442738,29,10403
1676675460.4346862,0,442839,11,16383
1676675460.4362373,0,444065,29,10435
1676675460.4362373,0,444167,11,16383
1676675460.4376297,0,445392,29,10458
1676675460.4376297,0,445493,11,16383
1676675460.4391804,0,446721,29,10344
1676675460.4391804,0,446822,11,16383
1676675460.4411519,0,448050,29,10454
1676675460.4411519,0,448151,11,16383
1676675460.4425411,0,449377,29,10451
1676675460.4425411,0,449478,11,16383
1676675460.4427152,0,450706,29,10434
1676675460.4427152,0,450807,11,16383
1676675460.4441879,0,452035,29,10470
1676675460.4441879,0,452135,11,16383
1676675460.4461873,0,453362,29,10448
1676675460.4461873,0,453463,11,16383
1676675460.4475832,0,454690,29,10452
1676675460.4475832,0,454792,11,16383
1676675460.4491348,0,456019,29,10453
1676675460.4491348,0,456120,11,16383
1676675460.4493086,0,457347,29,10442
1676675460.4493086,0,457448,11,16383
1676675460.4512253,0,458674,29,10421
1676675460.4512253,0,458776,11,16383
1676675460.4526176,0,460002,29,10435
1676675460.4526176,0,460103,11,16383
1676675460.4541717,0,461330,29,10456
1676675460.4541717,0,461437,11,16383
1676675460.4561448,0,462664,29,10451
1676675460.4561448,0,462766,11,16383
1676675460.4563174,0,463992,29,10439
1676675460.4563174,0,464094,11,16383
1676675460.4576523,0,465320,29,10444
1676675460.4576523,0,465421,11,16383
1676675460.4592535,0,466654,29,10450
1676675460.4592535,0,466755,11,16383
1676675460.460603,0,467982,29,10456
1676675460.460603,0,468083,11,16383
1676675460.4621491,0,469310,29,10453
1676675460.4621491,0,469411,11,16383
1676675460.46412,0,470644,29,10449
1676675460.46412,0,470745,11,16383
1676675460.46429,0,471972,29,10502
1676675460.46429,0,472073,11,16383
1676675460.4656224,0,473300,29,10454
1676675460.4656224,0,473401,11,16383
1676675460.4671776,0,474634,29,10460
1676675460.4671776,0,474735,11,16383
1676675460.468569,0,475962,29,10473
1676675460.468569,0,476063,11,16383
1676675460.470551,0,477289,29,10471
1676675460.470551,0,477391,11,16383
1676675460.470757,0,478623,29,10449
1676675460.470757,0,478725,11,16383
1676675460.4721913,0,479952,29,10441
1676675460.4721913,0,480053,11,16383
1676675460.4735894,0,481279,29,10463
1676675460.4735894,0,481381,11,16383
1676675460.4751637,0,482608,29,10446
1676675460.4751637,0,482709,11,16383
1676675460.4771876,0,483936,29,10463
1676675460.4771876,0,484037,11,16383
1676675460.477355,0,485264,29,10448
1676675460.477355,0,485365,11,16383
1676675460.4786139,0,486591,29,10459
1676675460.4786139,0,486692,11,16383
1676675460.4802003,0,487920,29,10458
1676675460.4802003,0,488021,11,16383
1676675460.4821556,0,489248,29,10465
1676675460.4821556,0,489350,11,16383
1676675460.4835575,0,490578,29,10440
1676675460.4835575,0,490679,11,16383
1676675460.4851167,0,491907,29,10453
1676675460.4851167,0,492008,11,16383
1676675460.485281,0,493235,29,10470
1676675460.485281,0,493337,11,16383
1676675460.487208,0,494569,29,10462
1676675460.487208,0,494670,11,16383
1676675460.4885812,0,495896,29,10442
1676675460.4885812,0,495998,11,16383
1676675460.490179,0,497225,29,10457
1676675460.490179,0,497326,11,16383
1676675460.4921308,0,498559,29,10454
1676675460.4921308,0,498660,11,16383
1676675460.4923012,0,499887,29,10449
1676675460.4923012,0,499988,11,16383
1676675460.4936068,0,501215,29,10470
1676675460.4936068,0,501316,11,16383
1676675460.495189,0,502548,29,10444
1676675460.495189,0,502649,11,16383
1676675460.496567,0,503877,29,10485
1676675460.496567,0,503978,11,16383
1676675460.498559,0,505204,29,10462
1676675460.498559,0,505306,11,16383
1676675460.498736,0,506538,29,10449
1676675460.498736,0,506640,11,16383
1676675460.500195,0,507866,29,10435
1676675460.500195,0,507967,11,16383
1676675460.5016181,0,509194,29,10449
1676675460.5016181,0,509296,11,16383
1676675460.5031717,0,510528,29,10442
1676675460.5031717,0,510629,11,16383
